County,Precinct,Office,District,Candidate,Party,Early,Poll,Total
Peoria,AK001,Assembly,73,DAVID R. LEITCH,REP,127,345,472
Peoria,BR001,Assembly,73,DAVID R. LEITCH,REP,108,345,453
Peoria,CH001,Assembly,73,DAVID R. LEITCH,REP,292,460,752
Peoria,CH002,Assembly,73,DAVID R. LEITCH,REP,212,411,623
Peoria,CH003,Assembly,73,DAVID R. LEITCH,REP,119,351,470
Peoria,CH004,Assembly,73,DAVID R. LEITCH,REP,159,422,581
Peoria,CH005,Assembly,73,DAVID R. LEITCH,REP,223,467,690
Peoria,EL001,Assembly,73,DAVID R. LEITCH,REP,79,213,292
Peoria,EL002,Assembly,73,DAVID R. LEITCH,REP,96,256,352
Peoria,EL003,Assembly,73,DAVID R. LEITCH,REP,97,278,375
Peoria,HA001,Assembly,73,DAVID R. LEITCH,REP,288,527,815
Peoria,JU001,Assembly,73,DAVID R. LEITCH,REP,346,532,878
Peoria,KI001,Assembly,73,DAVID R. LEITCH,REP,98,90,188
Peoria,LI002,Assembly,73,DAVID R. LEITCH,REP,94,120,214
Peoria,LI003,Assembly,73,DAVID R. LEITCH,REP,33,119,152
Peoria,LI011,Assembly,73,DAVID R. LEITCH,REP,17,12,29
Peoria,LI013,Assembly,73,DAVID R. LEITCH,REP,232,466,698
Peoria,LI014,Assembly,73,DAVID R. LEITCH,REP,246,357,603
Peoria,LO001,Assembly,73,DAVID R. LEITCH,REP,208,394,602
Peoria,LO002,Assembly,73,DAVID R. LEITCH,REP,243,525,768
Peoria,ME001,Assembly,73,DAVID R. LEITCH,REP,216,370,586
Peoria,ME002,Assembly,73,DAVID R. LEITCH,REP,174,323,497
Peoria,ME003,Assembly,73,DAVID R. LEITCH,REP,420,389,809
Peoria,ME004,Assembly,73,DAVID R. LEITCH,REP,360,287,647
Peoria,ME005,Assembly,73,DAVID R. LEITCH,REP,116,335,451
Peoria,MI001,Assembly,73,DAVID R. LEITCH,REP,18,181,199
Peoria,PR001,Assembly,73,DAVID R. LEITCH,REP,142,436,578
Peoria,RA001,Assembly,73,DAVID R. LEITCH,REP,486,406,892
Peoria,RA002,Assembly,73,DAVID R. LEITCH,REP,307,236,543
Peoria,RI001,Assembly,73,DAVID R. LEITCH,REP,14,2,16
Peoria,RI002,Assembly,73,DAVID R. LEITCH,REP,2,0,2
Peoria,RO001,Assembly,73,DAVID R. LEITCH,REP,151,411,562
Peoria,TR001,Assembly,73,DAVID R. LEITCH,REP,87,362,449
Peoria,KI001,Assembly,92,JEHAN GORDON,DEM,167,91,258
Peoria,KI002,Assembly,92,JEHAN GORDON,DEM,73,158,231
Peoria,LI001,Assembly,92,JEHAN GORDON,DEM,109,243,352
Peoria,LI002,Assembly,92,JEHAN GORDON,DEM,106,106,212
Peoria,LI003,Assembly,92,JEHAN GORDON,DEM,15,0,15
Peoria,LI004,Assembly,92,JEHAN GORDON,DEM,116,228,344
Peoria,LI005,Assembly,92,JEHAN GORDON,DEM,107,257,364
Peoria,LI007,Assembly,92,JEHAN GORDON,DEM,36,79,115
Peoria,LI011,Assembly,92,JEHAN GORDON,DEM,0,6,6
Peoria,LI012,Assembly,92,JEHAN GORDON,DEM,170,219,389
Peoria,RI003,Assembly,92,JEHAN GORDON,DEM,109,191,300
Peoria,RI004,Assembly,92,JEHAN GORDON,DEM,74,197,271
