County,Precinct,Office,District,Party,Candidate,Absentee,Early,Election,Total
Peoria,Peoria 50,Assembly,73,REP,David R. Leitch,1,29,59,89
Peoria,Peoria 52,Assembly,73,REP,David R. Leitch,19,111,269,399
Peoria,Peoria 53,Assembly,73,REP,David R. Leitch,22,144,290,456
Peoria,Peoria 54,Assembly,73,REP,David R. Leitch,17,140,298,455
Peoria,Peoria 55,Assembly,73,REP,David R. Leitch,8,122,355,485
Peoria,Peoria 56,Assembly,73,REP,David R. Leitch,20,129,306,455
Peoria,Peoria 67,Assembly,73,REP,David R. Leitch,23,131,337,491
Peoria,Peoria 68,Assembly,73,REP,David R. Leitch,10,74,263,347
Peoria,Peoria 69,Assembly,73,REP,David R. Leitch,9,106,288,403
Peoria,Peoria 70,Assembly,73,REP,David R. Leitch,24,143,419,586
Peoria,Peoria 71,Assembly,73,REP,David R. Leitch,5,73,246,324
Peoria,Peoria 72,Assembly,73,REP,David R. Leitch,4,110,244,358
Peoria,Peoria 73,Assembly,73,REP,David R. Leitch,12,136,315,463
Peoria,Peoria 74,Assembly,73,REP,David R. Leitch,10,96,319,425
Peoria,Peoria 75,Assembly,73,REP,David R. Leitch,29,274,824,"1,127"
Peoria,Peoria 76,Assembly,73,REP,David R. Leitch,20,148,253,421
Peoria,Peoria 77,Assembly,73,REP,David R. Leitch,14,118,318,450
Peoria,Peoria 78,Assembly,73,REP,David R. Leitch,15,135,379,529
Peoria,Peoria 79,Assembly,73,REP,David R. Leitch,12,135,337,484
Peoria,Peoria 80,Assembly,73,REP,David R. Leitch,11,78,220,309
Peoria,Peoria 81,Assembly,73,REP,David R. Leitch,4,134,212,350
Peoria,Peoria 82,Assembly,73,REP,David R. Leitch,15,153,275,443
Peoria,Peoria 83,Assembly,73,REP,David R. Leitch,11,224,292,527
Peoria,Peoria 84,Assembly,73,REP,David R. Leitch,9,120,256,385
Peoria,Peoria 85,Assembly,73,REP,David R. Leitch,19,133,354,506
Peoria,Peoria 86,Assembly,73,REP,David R. Leitch,24,167,289,480
Peoria,Peoria 87,Assembly,73,REP,David R. Leitch,69,49,251,369
Peoria,Peoria 88,Assembly,73,REP,David R. Leitch,16,149,299,464
Peoria,Peoria 89,Assembly,73,REP,David R. Leitch,40,201,372,613
Peoria,Peoria 90,Assembly,73,REP,David R. Leitch,12,152,426,590
Peoria,Peoria 91,Assembly,73,REP,David R. Leitch,21,162,364,547
Peoria,Peoria 92,Assembly,73,REP,David R. Leitch,33,255,713,"1,001"
Peoria,Peoria 93,Assembly,73,REP,David R. Leitch,38,330,679,"1,047"
Peoria,Peoria 46,Assembly,73,REP,David R. Leitch,20,171,338,529
Peoria,Peoria 01,Assembly,92,DEM,Jehan Gordon,3,72,204,279
Peoria,Peoria 02,Assembly,92,DEM,Jehan Gordon,13,70,237,320
Peoria,Peoria 03,Assembly,92,DEM,Jehan Gordon,3,77,188,268
Peoria,Peoria 04,Assembly,92,DEM,Jehan Gordon,5,108,232,345
Peoria,Peoria 05,Assembly,92,DEM,Jehan Gordon,5,73,164,242
Peoria,Peoria 06,Assembly,92,DEM,Jehan Gordon,3,57,190,250
Peoria,Peoria 07,Assembly,92,DEM,Jehan Gordon,3,119,258,380
Peoria,Peoria 08,Assembly,92,DEM,Jehan Gordon,6,88,253,347
Peoria,Peoria 09,Assembly,92,DEM,Jehan Gordon,9,127,205,341
Peoria,Peoria 10,Assembly,92,DEM,Jehan Gordon,14,138,250,402
Peoria,Peoria 11,Assembly,92,DEM,Jehan Gordon,7,203,310,520
Peoria,Peoria 12,Assembly,92,DEM,Jehan Gordon,35,117,90,242
Peoria,Peoria 13,Assembly,92,DEM,Jehan Gordon,3,62,242,307
Peoria,Peoria 14,Assembly,92,DEM,Jehan Gordon,13,62,210,285
Peoria,Peoria 15,Assembly,92,DEM,Jehan Gordon,5,76,176,257
Peoria,Peoria 16,Assembly,92,DEM,Jehan Gordon,8,82,170,260
Peoria,Peoria 17,Assembly,92,DEM,Jehan Gordon,0,110,237,347
Peoria,Peoria 18,Assembly,92,DEM,Jehan Gordon,7,44,108,159
Peoria,Peoria 19,Assembly,92,DEM,Jehan Gordon,2,58,135,195
Peoria,Peoria 20,Assembly,92,DEM,Jehan Gordon,4,73,127,204
Peoria,Peoria 21,Assembly,92,DEM,Jehan Gordon,3,61,151,215
Peoria,Peoria 22,Assembly,92,DEM,Jehan Gordon,9,77,189,275
Peoria,Peoria 23,Assembly,92,DEM,Jehan Gordon,7,84,198,289
Peoria,Peoria 24,Assembly,92,DEM,Jehan Gordon,10,100,223,333
Peoria,Peoria 25,Assembly,92,DEM,Jehan Gordon,3,63,185,251
Peoria,Peoria 26,Assembly,92,DEM,Jehan Gordon,6,81,160,247
Peoria,Peoria 27,Assembly,92,DEM,Jehan Gordon,17,43,59,119
Peoria,Peoria 28,Assembly,92,DEM,Jehan Gordon,4,91,169,264
