county,office,district,party,candidate,votes
ADAMS,U.S. Senate,,DEM,RICHARD J. DURBIN,707
ALEXANDER,U.S. Senate,,DEM,RICHARD J. DURBIN,586
BOND,U.S. Senate,,DEM,RICHARD J. DURBIN,443
BOONE,U.S. Senate,,DEM,RICHARD J. DURBIN,558
BROWN,U.S. Senate,,DEM,RICHARD J. DURBIN,102
BUREAU,U.S. Senate,,DEM,RICHARD J. DURBIN,936
CALHOUN,U.S. Senate,,DEM,RICHARD J. DURBIN,1045
CARROLL,U.S. Senate,,DEM,RICHARD J. DURBIN,458
CASS,U.S. Senate,,DEM,RICHARD J. DURBIN,979
CHAMPAIGN,U.S. Senate,,DEM,RICHARD J. DURBIN,7410
CHRISTIAN,U.S. Senate,,DEM,RICHARD J. DURBIN,1740
CLARK,U.S. Senate,,DEM,RICHARD J. DURBIN,331
CLAY,U.S. Senate,,DEM,RICHARD J. DURBIN,229
CLINTON,U.S. Senate,,DEM,RICHARD J. DURBIN,547
COLES,U.S. Senate,,DEM,RICHARD J. DURBIN,1290
COOK,U.S. Senate,,DEM,RICHARD J. DURBIN,247005
CRAWFORD,U.S. Senate,,DEM,RICHARD J. DURBIN,462
CUMBERLAND,U.S. Senate,,DEM,RICHARD J. DURBIN,268
DeKALB,U.S. Senate,,DEM,RICHARD J. DURBIN,1091
DeWITT,U.S. Senate,,DEM,RICHARD J. DURBIN,449
DOUGLAS,U.S. Senate,,DEM,RICHARD J. DURBIN,252
DuPAGE,U.S. Senate,,DEM,RICHARD J. DURBIN,14798
EDGAR,U.S. Senate,,DEM,RICHARD J. DURBIN,790
EDWARDS,U.S. Senate,,DEM,RICHARD J. DURBIN,106
EFFINGHAM,U.S. Senate,,DEM,RICHARD J. DURBIN,665
FAYETTE,U.S. Senate,,DEM,RICHARD J. DURBIN,461
FORD,U.S. Senate,,DEM,RICHARD J. DURBIN,123
FRANKLIN,U.S. Senate,,DEM,RICHARD J. DURBIN,1883
FULTON,U.S. Senate,,DEM,RICHARD J. DURBIN,2908
GALLATIN,U.S. Senate,,DEM,RICHARD J. DURBIN,469
GREENE,U.S. Senate,,DEM,RICHARD J. DURBIN,484
GRUNDY,U.S. Senate,,DEM,RICHARD J. DURBIN,802
HAMILTON,U.S. Senate,,DEM,RICHARD J. DURBIN,857
HANCOCK,U.S. Senate,,DEM,RICHARD J. DURBIN,346
HARDIN,U.S. Senate,,DEM,RICHARD J. DURBIN,154
HENDERSON,U.S. Senate,,DEM,RICHARD J. DURBIN,720
HENRY,U.S. Senate,,DEM,RICHARD J. DURBIN,944
IROQUOIS,U.S. Senate,,DEM,RICHARD J. DURBIN,256
JACKSON,U.S. Senate,,DEM,RICHARD J. DURBIN,2466
JASPER,U.S. Senate,,DEM,RICHARD J. DURBIN,485
