county,office,district,party,candidate,votes
ADAMS,U.S. Senate,,REP,MARK STEVEN KIRK,17525
ALEXANDER,U.S. Senate,,REP,MARK STEVEN KIRK,1179
BOND,U.S. Senate,,REP,MARK STEVEN KIRK,3219
BOONE,U.S. Senate,,REP,MARK STEVEN KIRK,9029
BROWN,U.S. Senate,,REP,MARK STEVEN KIRK,1411
BUREAU,U.S. Senate,,REP,MARK STEVEN KIRK,7452
CALHOUN,U.S. Senate,,REP,MARK STEVEN KIRK,1140
CARROLL,U.S. Senate,,REP,MARK STEVEN KIRK,3290
CASS,U.S. Senate,,REP,MARK STEVEN KIRK,2305
CHAMPAIGN,U.S. Senate,,REP,MARK STEVEN KIRK,29321
CHRISTIAN,U.S. Senate,,REP,MARK STEVEN KIRK,7072
CLARK,U.S. Senate,,REP,MARK STEVEN KIRK,4125
CLAY,U.S. Senate,,REP,MARK STEVEN KIRK,3256
CLINTON,U.S. Senate,,REP,MARK STEVEN KIRK,8623
COLES,U.S. Senate,,REP,MARK STEVEN KIRK,9629
COOK,U.S. Senate,,REP,MARK STEVEN KIRK,442029
CRAWFORD,U.S. Senate,,REP,MARK STEVEN KIRK,4724
CUMBERLAND,U.S. Senate,,REP,MARK STEVEN KIRK,2916
DeKALB,U.S. Senate,,REP,MARK STEVEN KIRK,15389
DeWITT,U.S. Senate,,REP,MARK STEVEN KIRK,3791
DOUGLAS,U.S. Senate,,REP,MARK STEVEN KIRK,4624
DuPAGE,U.S. Senate,,REP,MARK STEVEN KIRK,163875
EDGAR,U.S. Senate,,REP,MARK STEVEN KIRK,4699
EDWARDS,U.S. Senate,,REP,MARK STEVEN KIRK,1685
EFFINGHAM,U.S. Senate,,REP,MARK STEVEN KIRK,9518
FAYETTE,U.S. Senate,,REP,MARK STEVEN KIRK,4571
FORD,U.S. Senate,,REP,MARK STEVEN KIRK,3441
FRANKLIN,U.S. Senate,,REP,MARK STEVEN KIRK,6636
FULTON,U.S. Senate,,REP,MARK STEVEN KIRK,5761
GALLATIN,U.S. Senate,,REP,MARK STEVEN KIRK,1013
GREENE,U.S. Senate,,REP,MARK STEVEN KIRK,2591
GRUNDY,U.S. Senate,,REP,MARK STEVEN KIRK,9418
HAMILTON,U.S. Senate,,REP,MARK STEVEN KIRK,1910
HANCOCK,U.S. Senate,,REP,MARK STEVEN KIRK,4647
HARDIN,U.S. Senate,,REP,MARK STEVEN KIRK,1133
HENDERSON,U.S. Senate,,REP,MARK STEVEN KIRK,1837
HENRY,U.S. Senate,,REP,MARK STEVEN KIRK,11034
IROQUOIS,U.S. Senate,,REP,MARK STEVEN KIRK,7763
JACKSON,U.S. Senate,,REP,MARK STEVEN KIRK,7436
JASPER,U.S. Senate,,REP,MARK STEVEN KIRK,2606
JEFFERSON,U.S. Senate,,REP,MARK STEVEN KIRK,7580
JERSEY,U.S. Senate,,REP,MARK STEVEN KIRK,4569
JoDAVIESS,U.S. Senate,,REP,MARK STEVEN KIRK,4859
JOHNSON,U.S. Senate,,REP,MARK STEVEN KIRK,3094
KANE,U.S. Senate,,REP,MARK STEVEN KIRK,70621
KANKAKEE,U.S. Senate,,REP,MARK STEVEN KIRK,18277
KENDALL,U.S. Senate,,REP,MARK STEVEN KIRK,17633
KNOX,U.S. Senate,,REP,MARK STEVEN KIRK,9389
LAKE,U.S. Senate,,REP,MARK STEVEN KIRK,114971
LaSALLE,U.S. Senate,,REP,MARK STEVEN KIRK,18278
LAWRENCE,U.S. Senate,,REP,MARK STEVEN KIRK,3198
LEE,U.S. Senate,,REP,MARK STEVEN KIRK,6869
LIVINGSTON,U.S. Senate,,REP,MARK STEVEN KIRK,8575
LOGAN,U.S. Senate,,REP,MARK STEVEN KIRK,6105
MACON,U.S. Senate,,REP,MARK STEVEN KIRK,21072
MACOUPIN,U.S. Senate,,REP,MARK STEVEN KIRK,8823
