county,precinct,office,district,candidate,party,votes
Shelby,Ash Grove,General Assembly,102,ADAM BROWN,REP,231
Shelby,Big Spring,General Assembly,102,ADAM BROWN,REP,304
Shelby,Clarksburg,General Assembly,102,ADAM BROWN,REP,171
Shelby,Cold Spring,General Assembly,102,ADAM BROWN,REP,139
Shelby,Dry Point,General Assembly,102,ADAM BROWN,REP,352
Shelby,Flat Branch,General Assembly,102,ADAM BROWN,REP,217
Shelby,Herrick,General Assembly,102,ADAM BROWN,REP,197
Shelby,Holland,General Assembly,102,ADAM BROWN,REP,147
Shelby,Lakewood,General Assembly,102,ADAM BROWN,REP,160
Shelby,Moweaqua 1,General Assembly,102,ADAM BROWN,REP,361
Shelby,Moweaqua 2,General Assembly,102,ADAM BROWN,REP,498
Shelby,Oconee,General Assembly,102,ADAM BROWN,REP,282
Shelby,Okaw,General Assembly,102,ADAM BROWN,REP,372
Shelby,Penn,General Assembly,102,ADAM BROWN,REP,54
Shelby,Pickaway,General Assembly,102,ADAM BROWN,REP,74
Shelby,Prairie 1,General Assembly,102,ADAM BROWN,REP,550
Shelby,Richland,General Assembly,102,ADAM BROWN,REP,399
Shelby,Ridge,General Assembly,102,ADAM BROWN,REP,160
Shelby,Rose 1,General Assembly,102,ADAM BROWN,REP,296
Shelby,Rose 2,General Assembly,102,ADAM BROWN,REP,359
Shelby,Rural,General Assembly,102,ADAM BROWN,REP,145
Shelby,Shelbyville 1,General Assembly,102,ADAM BROWN,REP,192
Shelby,Shelbyville 2,General Assembly,102,ADAM BROWN,REP,160
Shelby,Shelbyville 3,General Assembly,102,ADAM BROWN,REP,201
Shelby,Shelbyville 4,General Assembly,102,ADAM BROWN,REP,203
Shelby,Shelbyville 5,General Assembly,102,ADAM BROWN,REP,347
Shelby,Shelbyville 6,General Assembly,102,ADAM BROWN,REP,350
Shelby,Shelbyville 7,General Assembly,102,ADAM BROWN,REP,275
Shelby,Sigel,General Assembly,102,ADAM BROWN,REP,345
Shelby,Todds Point,General Assembly,102,ADAM BROWN,REP,175
Shelby,Tower Hill 1,General Assembly,102,ADAM BROWN,REP,373
Shelby,Windsor 1,General Assembly,102,ADAM BROWN,REP,330
Shelby,Windsor 2,General Assembly,102,ADAM BROWN,REP,202
Shelby,Ash Grove,President,-,JOHNSON,LIB,4
Shelby,Big Spring,President,-,JOHNSON,LIB,3
Shelby,Clarksburg,President,-,JOHNSON,LIB,2
Shelby,Cold Spring,President,-,JOHNSON,LIB,4
Shelby,Dry Point,President,-,JOHNSON,LIB,2
Shelby,Flat Branch,President,-,JOHNSON,LIB,1
Shelby,Herrick,President,-,JOHNSON,LIB,0
Shelby,Holland,President,-,JOHNSON,LIB,3
Shelby,Lakewood,President,-,JOHNSON,LIB,3
Shelby,Moweaqua 1,President,-,JOHNSON,LIB,3
Shelby,Moweaqua 2,President,-,JOHNSON,LIB,7
Shelby,Oconee,President,-,JOHNSON,LIB,7
Shelby,Okaw,President,-,JOHNSON,LIB,8
Shelby,Penn,President,-,JOHNSON,LIB,1
Shelby,Pickaway,President,-,JOHNSON,LIB,2
Shelby,Prairie 1,President,-,JOHNSON,LIB,14
Shelby,Richland,President,-,JOHNSON,LIB,6
Shelby,Ridge,President,-,JOHNSON,LIB,4
Shelby,Rose 1,President,-,JOHNSON,LIB,6
Shelby,Rose 2,President,-,JOHNSON,LIB,4
Shelby,Rural,President,-,JOHNSON,LIB,1
Shelby,Shelbyville 1,President,-,JOHNSON,LIB,1
Shelby,Shelbyville 2,President,-,JOHNSON,LIB,7
Shelby,Shelbyville 3,President,-,JOHNSON,LIB,4
Shelby,Shelbyville 4,President,-,JOHNSON,LIB,3
Shelby,Shelbyville 5,President,-,JOHNSON,LIB,5
Shelby,Shelbyville 6,President,-,JOHNSON,LIB,14
Shelby,Shelbyville 7,President,-,JOHNSON,LIB,0
Shelby,Sigel,President,-,JOHNSON,LIB,4
Shelby,Todds Point,President,-,JOHNSON,LIB,5
Shelby,Tower Hill 1,President,-,JOHNSON,LIB,10
Shelby,Windsor 1,President,-,JOHNSON,LIB,3
Shelby,Windsor 2,President,-,JOHNSON,LIB,2
Shelby,Ash Grove,President,-,OBAMA,DEM,70
Shelby,Big Spring,President,-,OBAMA,DEM,90
Shelby,Clarksburg,President,-,OBAMA,DEM,51
Shelby,Cold Spring,President,-,OBAMA,DEM,85
Shelby,Dry Point,President,-,OBAMA,DEM,105
Shelby,Flat Branch,President,-,OBAMA,DEM,51
Shelby,Herrick,President,-,OBAMA,DEM,86
Shelby,Holland,President,-,OBAMA,DEM,47
Shelby,Lakewood,President,-,OBAMA,DEM,82
Shelby,Moweaqua 1,President,-,OBAMA,DEM,151
Shelby,Moweaqua 2,President,-,OBAMA,DEM,186
Shelby,Oconee,President,-,OBAMA,DEM,116
Shelby,Okaw,President,-,OBAMA,DEM,172
Shelby,Penn,President,-,OBAMA,DEM,13
Shelby,Pickaway,President,-,OBAMA,DEM,28
Shelby,Prairie 1,President,-,OBAMA,DEM,140
Shelby,Richland,President,-,OBAMA,DEM,90
Shelby,Ridge,President,-,OBAMA,DEM,49
Shelby,Rose 1,President,-,OBAMA,DEM,147
Shelby,Rose 2,President,-,OBAMA,DEM,138
Shelby,Rural,President,-,OBAMA,DEM,56
Shelby,Shelbyville 1,President,-,OBAMA,DEM,88
Shelby,Shelbyville 2,President,-,OBAMA,DEM,86
Shelby,Shelbyville 3,President,-,OBAMA,DEM,107
Shelby,Shelbyville 4,President,-,OBAMA,DEM,109
Shelby,Shelbyville 5,President,-,OBAMA,DEM,159
Shelby,Shelbyville 6,President,-,OBAMA,DEM,161
Shelby,Shelbyville 7,President,-,OBAMA,DEM,115
Shelby,Sigel,President,-,OBAMA,DEM,73
Shelby,Todds Point,President,-,OBAMA,DEM,76
Shelby,Tower Hill 1,President,-,OBAMA,DEM,179
Shelby,Windsor 1,President,-,OBAMA,DEM,141
Shelby,Windsor 2,President,-,OBAMA,DEM,95
Shelby,Ash Grove,President,-,ROMNEY,REP,189
Shelby,Big Spring,President,-,ROMNEY,REP,248
Shelby,Clarksburg,President,-,ROMNEY,REP,139
Shelby,Cold Spring,President,-,ROMNEY,REP,98
Shelby,Dry Point,President,-,ROMNEY,REP,309
Shelby,Flat Branch,President,-,ROMNEY,REP,191
Shelby,Herrick,President,-,ROMNEY,REP,161
Shelby,Holland,President,-,ROMNEY,REP,140
Shelby,Lakewood,President,-,ROMNEY,REP,110
Shelby,Moweaqua 1,President,-,ROMNEY,REP,266
Shelby,Moweaqua 2,President,-,ROMNEY,REP,385
Shelby,Oconee,President,-,ROMNEY,REP,237
Shelby,Okaw,President,-,ROMNEY,REP,281
Shelby,Penn,President,-,ROMNEY,REP,44
Shelby,Pickaway,President,-,ROMNEY,REP,62
Shelby,Prairie 1,President,-,ROMNEY,REP,463
Shelby,Richland,President,-,ROMNEY,REP,343
Shelby,Ridge,President,-,ROMNEY,REP,141
Shelby,Rose 1,President,-,ROMNEY,REP,240
